message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
291776,"ถนน,ทางเท้า",12,กรุงเทพมหานคร,"รู้มั้ยครับปัญหาคืออะไร

1.คนเดินเท้าไม่มีทางเดินที่ปลอดภัย  เสี่ยงต่อการโดนรถชนบาดเจ็บ  และพิการ

2.ความยาวลูกระนาดไม่เต็มความกว้างของถนน  ทำให้คนขี่มอ'ไซต์บางคนขี่เบี่ยงไปทางช่องว่างของลูกระนาด  ซึ่งอาจไปชนกับคนเดินเท้าที่ต้องเดินผ่านไปมาบนผิวถนน

ช่วยแก้ปัญหาและใส่ใจรายละเอียดเล็กๆ น้อยๆ หน่อยครับ",2022-A99DNW,"['100.62018', '13.76425']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/8c4d446483bdd8be5e83abaa1bffae632ed8cbc1.jpg,,2 ซอย รามคำแหง 53 แยก 1 แขวง พลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10312 ประเทศไทย,วังทองหลาง,พลับพลา,กรุงเทพมหานคร,2022-12-10 12:35:53.109501+00:00,"{ถนน,ทางเท้า}",report,,0,รอรับเรื่อง
291775,"สะพาน,ป้าย,แสงสว่าง",14,กรุงเทพมหานคร,ป้ายรถเมย์แสงสว่างไม่มีรวมถึงสะพานลอยคนข้าม,2022-N6BD7T,"['100.52362', '13.68397']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/bca488464483966362c9a49361203df131d0526c.jpg,,551 ถ. พระรามที่ 3 แขวง บางโพงพาง เขต ยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,ยานนาวา,บางโพงพาง,กรุงเทพมหานคร,2022-12-10 12:35:51.141182+00:00,"{สะพาน,ป้าย,แสงสว่าง}",inprogress,,0,กำลังดำเนินการ
291773,ความสะอาด,12,กรุงเทพมหานคร,วันที่ 10 ธ.ค. 65 ตั้งแต่ 18:20 น. จน ถึงขณะนี้19.30 น. ร้านอาหาร Don Asado ปากซอยเย็นอากาศ 2 แยก 3 ปล่อยกลิ่นควันไฟและกลิ่นอาหารย่างออกมารบกวนผู้ที่อยู่อาศัยในบริเวณใกล้เคียง กลิ่นแรงจนต้องปิดประตูและหน้าต่างค่ะ,2022-HCXMTN,"['100.54878', '13.71274']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/15836c95eadb18cfc2f3a5cd403ffb813ca2ed7a.jpg,,237 1 ซ. เย็นอากาศ 2 แขวง ช่องนนทรี เขต ยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,ยานนาวา,ช่องนนทรี,กรุงเทพมหานคร,2022-12-10 12:35:18.702331+00:00,{ความสะอาด},report,,0,รอรับเรื่อง
291772,ความสะอาด,12,กรุงเทพมหานคร,"📣🔉🔊 แจ้งติดป้าย ❌ 🙅‍♀️🙅‍♂️🙅😤😠😡
ผิด พ.ร.บ.รักษาความสะอาด และความเป็นระเบียบเรียบร้อยของบ้านเมือง
📸
🚩ก่อนถึงนวมินทร์ 145 งหน้า ต.ร.อ.ซีเคร็ทออโต้คาร์
🛣️ถ.นวมินทร์
🙏👷‍♂️👷👷‍♀️ 🎤ขอขอบคุณ เจ้าหน้าที่ทุกท่าน
ในการจัดการปัญหาดังกล่าว🥀🎁✌️✌️👏👏👏",2022-8L96YE,"['100.65670', '13.82542']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/aaa190f9f3a43ec46461b1cc31842b521326059e.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/87d6a77aac6a1d7ffad19d21b7ff5ffce004025a.jpg,โลตัสสุขาภิบาล ๅ แขวง นวลจันทร์ เขต บึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,บึงกุ่ม,นวลจันทร์,กรุงเทพมหานคร,2022-12-10 12:32:43.602251+00:00,{ความสะอาด},finish,4.0,0,เสร็จสิ้น
291771,กีดขวาง,91,กรุงเทพมหานคร,รถจอดในที่ห้าม กีดขวางการจราจรตลอดทั้งวันทุกวัน,2022-N76NFX,"['100.52420', '13.75747']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/707382b4c24cf0eeafbf230c7ccb3126e3d4a0db.jpg,,ตรงข้ามโรงแรมบางกอกมิดทาวน์ แขวง ทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ราชเทวี,ทุ่งพญาไท,กรุงเทพมหานคร,2022-12-10 12:31:44.228954+00:00,{กีดขวาง},inprogress,,0,รอรับเรื่อง
291768,ถนน,9,กรุงเทพมหานคร,ถนนเลอะดินจากล้อรถที่ออกเขตก่อสร้างเป็นประจำ ยังไม่ได้รับการแก้ไข,2022-K68WDR,"['100.54014', '13.67967']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/a1d60ecb6e5f88d7e7ef4bb44edefecd5798ce17.jpg,,460 ซอย โชคชัยจงจำเริญ แขวง บางโพงพาง เขต ยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,ยานนาวา,บางโพงพาง,กรุงเทพมหานคร,2022-12-10 12:30:04.956842+00:00,{ถนน},inprogress,,0,กำลังดำเนินการ
291767,ความสะอาด,12,กรุงเทพมหานคร,"📣🔉🔊 แจ้งติดป้าย ❌ 🙅‍♀️🙅‍♂️🙅😤😠😡
ผิด พ.ร.บ.รักษาความสะอาด และความเป็นระเบียบเรียบร้อยของบ้านเมือง
📸
🚩แถวป้ายรถเมล์ นวมินทร์ 147
🛣️ถ.นวมินทร์
🙏👷‍♂️👷👷‍♀️ 🎤ขอขอบคุณ เจ้าหน้าที่ทุกท่าน
ในการจัดการปัญหาดังกล่าว🥀🎁✌️✌️👏👏👏",2022-KGHPAX,"['100.65695', '13.82571']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/5711c0e5cb280339d9520739200d2c88b4cd51c5.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/79cd3ee3c72bcae96a43ef141dbbc30e0f62f09d.jpg,42 ซอย นวมินทร์ 145 แขวง คลองกุ่ม เขต บึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,บึงกุ่ม,นวลจันทร์,กรุงเทพมหานคร,2022-12-10 12:29:07.899795+00:00,{ความสะอาด},finish,,0,กำลังดำเนินการ
291765,,12,กรุงเทพมหานคร,มีประชาชนที่ไปเข้ารับการรักษาที่โรงพยาบาล​ลาดกระบัง​แล้ว บอกว่าพูดจาแย่ ไม่เป็นมิตรกับ ประชาชน  และยังมีหลายๆคน คอมเม้นไปในทางเดียวกัน ถึงการรักษา และบริการที่ไม่ค่อยมีคุณภาพ  อยากให้สำนักการแพทย์​ กทม เข้าไปตรวจสอบ หรือกำชับกับผู้ปฏิบัติงาน​ด้วยครับ ถ้าอยากอ่านคอมเม้นเพิ่ม https://www.facebook.com/groups/1138506252931425/permalink/5773806646068006/?mibextid=Nif5oz,2022-LMD8PP,"['100.78392', '13.72237']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/bf82f4ccc946daa0f2535a02a51238eac25ff90c.jpg,,2 ถนน ลาดกระบัง แขวง ลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,2022-12-10 12:21:26.355488+00:00,{},inprogress,,0,กำลังดำเนินการ
291764,ความสะอาด,12,กรุงเทพมหานคร,"📣🔉🔊 แจ้งติดป้าย ❌ 🙅‍♀️🙅‍♂️🙅😤😠😡
ผิด พ.ร.บ.รักษาความสะอาด และความเป็นระเบียบเรียบร้อยของบ้านเมือง
📸
🚩ชุมสายโทรศัพท์ รามอินทรา
🛣️ ถ.นวมินทร์
🙏👷‍♂️👷👷‍♀️ 🎤ขอขอบคุณ เจ้าหน้าที่ทุกท่าน
ในการจัดการปัญหาดังกล่าว🥀🎁✌️✌️👏👏👏",2022-9E2C9V,"['100.65957', '13.83287']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/f0caa572b6463f48548b1343288e0866aa01a317.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/896966b8d86a633e1fb4ea268ea34b26d5b2ca43.jpg,128 Soi 161 Sahafarms Building Nawamin Road Khan Na Yao Khet Khan Na Yao l Bangkok 10230 แขวง รามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,คันนายาว,รามอินทรา,กรุงเทพมหานคร,2022-12-10 12:15:53.101837+00:00,{ความสะอาด},finish,4.0,0,เสร็จสิ้น
291763,ท่อระบายน้ำ,9,กรุงเทพมหานคร,ฝาท่อระบายน้ำชำรุด,2022-CT9HQP,"['100.45776', '13.77914']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/006f1ede4dc963b3be4df9db4cb7d5cbc3e71042.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/3318e00b55c83c749fbc1f3b113d6c794b333020.jpg,92 ถนน ชักพระ แขวง คลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,ตลิ่งชัน,คลองชักพระ,กรุงเทพมหานคร,2022-12-10 12:14:06.461196+00:00,{ท่อระบายน้ำ},finish,5.0,0,เสร็จสิ้น
